Date,Open,High,Low,Close,Volume
2022-09-20,635.0,640.0,635.0,635.0,800
2022-09-21,635.0,635.0,635.0,635.0,200
2022-09-22,635.0,635.0,635.0,635.0,3200
2022-09-23,630.0,630.0,630.0,630.0,1100
2022-09-26,625.0,625.0,620.0,620.0,800
2022-09-27,620.0,620.0,620.0,620.0,0
2022-09-28,620.0,620.0,620.0,620.0,100
2022-09-29,620.0,620.0,620.0,620.0,0
2022-09-30,620.0,620.0,620.0,620.0,700
2022-10-03,625.0,625.0,625.0,625.0,1000
2022-10-04,625.0,625.0,625.0,625.0,0
2022-10-05,625.0,625.0,625.0,625.0,0
2022-10-06,625.0,625.0,625.0,625.0,200
2022-10-07,620.0,635.0,585.0,635.0,17700
2022-10-10,635.0,635.0,635.0,635.0,0
2022-10-11,635.0,635.0,635.0,635.0,0
2022-10-12,635.0,635.0,635.0,635.0,0
2022-10-13,630.0,630.0,620.0,620.0,700
2022-10-14,620.0,620.0,620.0,620.0,0
2022-10-17,620.0,620.0,620.0,620.0,0
2022-10-18,620.0,620.0,620.0,620.0,0
2022-10-19,620.0,620.0,620.0,620.0,0
2022-10-20,615.0,615.0,610.0,610.0,1400
2022-10-21,615.0,615.0,570.0,615.0,16800
2022-10-24,610.0,610.0,585.0,585.0,2100
2022-10-25,590.0,590.0,590.0,590.0,600
2022-10-26,585.0,585.0,580.0,580.0,300
2022-10-27,580.0,580.0,580.0,580.0,0
2022-10-28,580.0,585.0,580.0,580.0,1800
2022-10-31,575.0,575.0,575.0,575.0,100
2022-11-01,570.0,570.0,570.0,570.0,100
2022-11-02,565.0,565.0,535.0,535.0,5600
2022-11-03,535.0,535.0,535.0,535.0,0
2022-11-04,535.0,535.0,535.0,535.0,0
2022-11-07,535.0,535.0,535.0,535.0,300
2022-11-08,535.0,535.0,535.0,535.0,0
2022-11-09,535.0,535.0,535.0,535.0,0
2022-11-10,535.0,535.0,535.0,535.0,0
2022-11-11,535.0,535.0,535.0,535.0,0
2022-11-14,530.0,540.0,530.0,540.0,7600
2022-11-15,540.0,540.0,535.0,540.0,2300
2022-11-16,545.0,545.0,545.0,545.0,100
2022-11-17,540.0,540.0,535.0,535.0,700
2022-11-18,535.0,535.0,535.0,535.0,0
2022-11-21,535.0,535.0,535.0,535.0,200
2022-11-22,530.0,530.0,515.0,515.0,132900
2022-11-23,510.0,520.0,510.0,510.0,1800
2022-11-24,510.0,510.0,505.0,510.0,250300
2022-11-25,510.0,530.0,510.0,530.0,71500
2022-11-28,535.0,660.0,535.0,660.0,83700
2022-11-29,675.0,825.0,665.0,720.0,643500
2022-11-30,750.0,750.0,670.0,670.0,103900
2022-12-01,655.0,655.0,625.0,625.0,25600
2022-12-02,625.0,750.0,585.0,650.0,131800
2022-12-05,625.0,700.0,605.0,675.0,110400
2022-12-06,665.0,840.0,630.0,735.0,401100
2022-12-07,735.0,915.0,685.0,685.0,573500
2022-12-08,640.0,640.0,640.0,640.0,1600
2022-12-09,600.0,600.0,600.0,600.0,23400
2022-12-12,560.0,700.0,560.0,565.0,260900
2022-12-13,570.0,650.0,530.0,580.0,358800
2022-12-14,560.0,680.0,550.0,585.0,238600
2022-12-15,585.0,660.0,555.0,615.0,51500
2022-12-16,625.0,675.0,575.0,575.0,214000
2022-12-19,575.0,710.0,550.0,630.0,122000
2022-12-20,620.0,625.0,590.0,600.0,310500
2022-12-21,575.0,615.0,560.0,575.0,174600
2022-12-22,575.0,595.0,545.0,580.0,66900
2022-12-23,590.0,695.0,565.0,680.0,136300
2022-12-26,680.0,680.0,635.0,635.0,16100
2022-12-27,635.0,675.0,605.0,640.0,6000
2022-12-28,670.0,790.0,640.0,790.0,585700
2022-12-29,805.0,945.0,745.0,850.0,1727900
2022-12-30,810.0,900.0,805.0,805.0,333600
2023-01-02,805.0,870.0,800.0,830.0,203100
2023-01-03,850.0,870.0,810.0,820.0,106400
2023-01-04,850.0,900.0,800.0,900.0,120200
2023-01-05,875.0,900.0,840.0,840.0,65000
2023-01-06,850.0,1050.0,820.0,950.0,713400
2023-01-09,945.0,1185.0,945.0,1125.0,657700
2023-01-10,1135.0,1135.0,1050.0,1050.0,201700
2023-01-11,1040.0,1115.0,980.0,980.0,216400
2023-01-12,915.0,1200.0,915.0,970.0,483800
2023-01-13,920.0,1070.0,920.0,985.0,167600
2023-01-16,1000.0,1100.0,940.0,1080.0,326700
2023-01-17,1080.0,1350.0,1020.0,1350.0,720800
2023-01-18,1350.0,1685.0,1260.0,1260.0,782000
2023-01-19,1175.0,1260.0,1175.0,1175.0,284800
2023-01-20,1130.0,1130.0,1095.0,1095.0,39100
2023-01-24,1090.0,1095.0,1020.0,1020.0,40900
2023-01-25,1015.0,1015.0,950.0,950.0,219500
2023-01-26,885.0,905.0,885.0,885.0,85800
2023-01-27,825.0,825.0,825.0,825.0,121100
2023-01-30,770.0,995.0,770.0,965.0,1434900
2023-01-31,975.0,1100.0,945.0,965.0,633700
2023-02-01,970.0,1050.0,945.0,955.0,209300
2023-02-02,945.0,950.0,890.0,910.0,312500
2023-02-03,910.0,1135.0,900.0,1005.0,582600
2023-02-06,965.0,1100.0,935.0,1010.0,700900
2023-02-07,1010.0,1010.0,940.0,940.0,275600
2023-02-08,945.0,985.0,875.0,975.0,208100
2023-02-09,955.0,1000.0,940.0,990.0,106900
2023-02-10,990.0,1000.0,950.0,985.0,74100
2023-02-13,975.0,985.0,950.0,980.0,40500
2023-02-14,980.0,980.0,920.0,980.0,52500
2023-02-15,980.0,1150.0,950.0,1015.0,307600
2023-02-16,1005.0,1100.0,995.0,1025.0,85100
2023-02-17,1060.0,1245.0,1030.0,1110.0,437100
2023-02-20,1130.0,1200.0,1095.0,1180.0,137500
2023-02-21,1185.0,1300.0,1100.0,1140.0,473500
2023-02-22,1140.0,1250.0,1065.0,1090.0,218100
2023-02-23,1070.0,1120.0,1015.0,1015.0,218800
2023-02-24,985.0,1145.0,945.0,1000.0,420100
2023-02-27,1000.0,1000.0,940.0,970.0,1207500
2023-02-28,970.0,980.0,925.0,950.0,340600
2023-03-01,950.0,975.0,935.0,940.0,173600
2023-03-02,940.0,975.0,875.0,900.0,427600
2023-03-03,900.0,920.0,840.0,900.0,258700
2023-03-06,900.0,985.0,840.0,845.0,902700
2023-03-07,845.0,860.0,790.0,840.0,800700
2023-03-08,845.0,970.0,785.0,795.0,2722000
2023-03-09,785.0,920.0,740.0,740.0,1665700
2023-03-10,740.0,770.0,690.0,690.0,1515300
2023-03-13,655.0,850.0,645.0,775.0,657600
2023-03-14,755.0,755.0,725.0,725.0,1207300
2023-03-15,725.0,750.0,675.0,710.0,555000
2023-03-16,680.0,715.0,680.0,685.0,44900
2023-03-17,695.0,810.0,685.0,810.0,348400
2023-03-20,810.0,865.0,790.0,815.0,145700
2023-03-21,825.0,825.0,780.0,820.0,63300
2023-03-24,825.0,825.0,775.0,785.0,43700
